SecuCode,FirstIndustryName
600532,钢铁
600547,有色金属
600555,房地产
600562,国防军工
600575,交通运输
600582,机械
600589,基础化工
600600,食品饮料
600614,医药
600639,房地产
600650,交通运输
600657,房地产
600664,医药
600675,房地产
600682,商贸零售
600689,纺织服装
600707,电子元器件
600714,煤炭
600725,煤炭
600732,房地产
600739,商贸零售
600750,医药
600757,传媒
600764,通信
600775,通信
600782,钢铁
600789,医药
600800,轻工制造
600807,房地产
600814,商贸零售
600825,传媒
600832,综合
600839,家电
600850,计算机
600857,商贸零售
600864,电力及公用事业
600875,电力设备
600882,钢铁
600889,基础化工
600900,电力及公用事业
600976,医药
600992,机械
300201,汽车
002581,基础化工
300202,计算机
601566,纺织服装
300212,计算机
300227,电子元器件
002586,建筑
300230,基础化工
002783,基础化工
300596,基础化工
300521,机械
603789,机械
601211,非银行金融
603227,基础化工
300501,轻工制造
300632,家电
000004,医药
000014,房地产
000020,电子元器件
000031,房地产
000038,房地产
000063,通信
000088,交通运输
000151,商贸零售
000400,电力设备
000411,医药
000419,商贸零售
000428,餐饮旅游
000507,交通运输
000522,医药
000533,家电
000540,房地产
000547,国防军工
000558,房地产
000565,基础化工
000572,汽车
000595,机械
000602,电力及公用事业
000615,基础化工
000622,汽车
000630,有色金属
000652,综合
000668,房地产
000680,机械
000688,有色金属
000707,基础化工
000715,商贸零售
000722,电力及公用事业
000735,农林牧渔
000751,有色金属
000759,商贸零售
000777,机械
000786,建材
000793,传媒
000806,电力设备
000815,轻工制造
000822,基础化工
000835,传媒
000851,商贸零售
000862,电力设备
000869,食品饮料
000882,商贸零售
000890,机械
000897,房地产
000901,国防军工
000910,轻工制造
000918,房地产
000930,农林牧渔
000938,计算机
000953,基础化工
000966,电力及公用事业
000973,基础化工
000981,房地产
000996,汽车
002244,房地产
002232,计算机
002229,轻工制造
002243,轻工制造
002239,汽车
002274,基础化工
002255,机械
002267,电力及公用事业
002275,医药
002288,电子元器件
002290,家电
002291,纺织服装
601633,汽车
002438,机械
002602,传媒
601636,建材
002830,建筑
601908,电力设备
601886,建筑
300261,基础化工
603369,食品饮料
603606,电力设备
300406,医药
300448,计算机
002767,机械
603101,商贸零售
002780,纺织服装
300552,计算机
300407,电力设备
002749,基础化工
300494,计算机
603021,轻工制造
603887,建筑
603618,电力设备
002819,机械
300526,纺织服装
300484,电力设备
300559,计算机
002806,有色金属
002822,建筑
002821,医药
300433,电子元器件
002795,机械
002790,家电
002758,医药
002162,建材
002169,电力设备
002177,计算机
601939,银行
002185,电子元器件
002186,餐饮旅游
002196,机械
002199,电子元器件
002202,电力设备
601601,非银行金融
002207,机械
002224,基础化工
002625,汽车
601555,非银行金融
002633,机械
002648,石油石化
002651,机械
603599,基础化工
002649,计算机
603896,医药
603429,轻工制造
600005,钢铁
600028,石油石化
600030,非银行金融
600057,交通运输
600059,食品饮料
600074,基础化工
600076,通信
600089,电力设备
600091,基础化工
600093,汽车
600106,交通运输
600108,农林牧渔
600123,煤炭
600126,钢铁
600146,基础化工
